option,type,temperature,Year
"Chicago Northerly, IL",Apr,M,2005
"Chicago Northerly, IL",May,M,2005
"Chicago Northerly, IL",Jun,71.8,2005
"Chicago Northerly, IL",Jul,76.8,2005
"Chicago Northerly, IL",Aug,76.5,2005
"Chicago Northerly, IL",Sep,71.8,2005
"Chicago Northerly, IL",Oct,57.8,2005
"Chicago Northerly, IL",Nov,44.9,2005
"Chicago Northerly, IL",Dec,25.4,2005
"Chicago Northerly, IL",Annual,60.7,2005
"Chicago Northerly, IL",Jan,36.5,2006
"Chicago Northerly, IL",Feb,29.6,2006
"Chicago Northerly, IL",Mar,39.2,2006
"Chicago Northerly, IL",Apr,54.4,2006
"Chicago Northerly, IL",May,60.6,2006
"Chicago Northerly, IL",Jun,69.5,2006
"Chicago Northerly, IL",Jul,78.3,2006
"Chicago Northerly, IL",Aug,75.5,2006
"Chicago Northerly, IL",Sep,65.6,2006
"Chicago Northerly, IL",Oct,51.2,2006
"Chicago Northerly, IL",Nov,45.2,2006
"Chicago Northerly, IL",Dec,36.4,2006
"Chicago Northerly, IL",Annual,53.5,2006
"Chicago Northerly, IL",Jan,30.5,2007
"Chicago Northerly, IL",Feb,20.7,2007
"Chicago Northerly, IL",Mar,42.8,2007
"Chicago Northerly, IL",Apr,47.0,2007
"Chicago Northerly, IL",May,62.4,2007
"Chicago Northerly, IL",Jun,71.6,2007
"Chicago Northerly, IL",Jul,M,2007
"Chicago Northerly, IL",Aug,76.5,2007
"Chicago Northerly, IL",Sep,71.7,2007
"Chicago Northerly, IL",Oct,61.9,2007
"Chicago Northerly, IL",Nov,43.3,2007
"Chicago Northerly, IL",Dec,31.7,2007
"Chicago Northerly, IL",Annual,50.9,2007
"Chicago Northerly, IL",Jan,27.8,2008
"Chicago Northerly, IL",Feb,26.8,2008
"Chicago Northerly, IL",Mar,37.1,2008
"Chicago Northerly, IL",Apr,51.6,2008
"Chicago Northerly, IL",May,57.2,2008
"Chicago Northerly, IL",Jun,71.2,2008
"Chicago Northerly, IL",Jul,75.8,2008
"Chicago Northerly, IL",Aug,75.3,2008
"Chicago Northerly, IL",Sep,69.5,2008
"Chicago Northerly, IL",Oct,57.2,2008
"Chicago Northerly, IL",Nov,43.0,2008
"Chicago Northerly, IL",Dec,27.3,2008
"Chicago Northerly, IL",Annual,51.7,2008
"Chicago Northerly, IL",Jan,21.0,2009
"Chicago Northerly, IL",Feb,31.7,2009
"Chicago Northerly, IL",Mar,41.0,2009
"Chicago Northerly, IL",Apr,47.7,2009
"Chicago Northerly, IL",May,60.3,2009
"Chicago Northerly, IL",Jun,67.1,2009
"Chicago Northerly, IL",Jul,71.2,2009
"Chicago Northerly, IL",Aug,72.4,2009
"Chicago Northerly, IL",Sep,67.6,2009
"Chicago Northerly, IL",Oct,51.9,2009
"Chicago Northerly, IL",Nov,49.2,2009
"Chicago Northerly, IL",Dec,30.0,2009
"Chicago Northerly, IL",Annual,50.9,2009
"Chicago Northerly, IL",Jan,25.2,2010
"Chicago Northerly, IL",Feb,30.4,2010
"Chicago Northerly, IL",Mar,41.8,2010
"Chicago Northerly, IL",Apr,54.4,2010
"Chicago Northerly, IL",May,61.2,2010
"Chicago Northerly, IL",Jun,71.9,2010
"Chicago Northerly, IL",Jul,78.9,2010
"Chicago Northerly, IL",Aug,78.9,2010
"Chicago Northerly, IL",Sep,68.6,2010
"Chicago Northerly, IL",Oct,60.3,2010
"Chicago Northerly, IL",Nov,46.1,2010
"Chicago Northerly, IL",Dec,27.2,2010
"Chicago Northerly, IL",Annual,53.7,2010
"Chicago Northerly, IL",Jan,25.0,2011
"Chicago Northerly, IL",Feb,30.7,2011
"Chicago Northerly, IL",Mar,M,2011
"Chicago Northerly, IL",Apr,49.3,2011
"Chicago Northerly, IL",May,M,2011
"Chicago Northerly, IL",Jun,69.6,2011
"Chicago Northerly, IL",Jul,79.4,2011
"Chicago Northerly, IL",Aug,76.6,2011
"Chicago Northerly, IL",Sep,66.1,2011
"Chicago Northerly, IL",Oct,58.0,2011
"Chicago Northerly, IL",Nov,48.4,2011
"Chicago Northerly, IL",Dec,38.8,2011
"Chicago Northerly, IL",Annual,54.2,2011
"Chicago Northerly, IL",Jan,34.1,2012
"Chicago Northerly, IL",Feb,36.1,2012
"Chicago Northerly, IL",Mar,53.1,2012
"Chicago Northerly, IL",Apr,51.9,2012
"Chicago Northerly, IL",May,65.4,2012
"Chicago Northerly, IL",Jun,74.8,2012
"Chicago Northerly, IL",Jul,82.3,2012
"Chicago Northerly, IL",Aug,76.3,2012
"Chicago Northerly, IL",Sep,67.6,2012
"Chicago Northerly, IL",Oct,54.2,2012
"Chicago Northerly, IL",Nov,43.8,2012
"Chicago Northerly, IL",Dec,37.6,2012
"Chicago Northerly, IL",Annual,56.4,2012
"Chicago Northerly, IL",Jan,28.4,2013
"Chicago Northerly, IL",Feb,28.5,2013
"Chicago Northerly, IL",Mar,33.3,2013
"Chicago Northerly, IL",Apr,46.4,2013
"Chicago Northerly, IL",May,58.5,2013
"Chicago Northerly, IL",Jun,65.9,2013
"Chicago Northerly, IL",Jul,72.7,2013
"Chicago Northerly, IL",Aug,73.7,2013
"Chicago Northerly, IL",Sep,68.1,2013
"Chicago Northerly, IL",Oct,54.1,2013
"Chicago Northerly, IL",Nov,39.2,2013
"Chicago Northerly, IL",Dec,25.3,2013
"Chicago Northerly, IL",Annual,49.5,2013
"Chicago Northerly, IL",Jan,18.5,2014
"Chicago Northerly, IL",Feb,20.4,2014
"Chicago Northerly, IL",Mar,32.1,2014
"Chicago Northerly, IL",Apr,47.9,2014
"Chicago Northerly, IL",May,58.5,2014
"Chicago Northerly, IL",Jun,67.2,2014
"Chicago Northerly, IL",Jul,69.4,2014
"Chicago Northerly, IL",Aug,72.8,2014
"Chicago Northerly, IL",Sep,64.0,2014
"Chicago Northerly, IL",Oct,54.0,2014
"Chicago Northerly, IL",Nov,36.1,2014
"Chicago Northerly, IL",Dec,33.6,2014
"Chicago Northerly, IL",Annual,47.9,2014
"Chicago Northerly, IL",Jan,24.9,2015
"Chicago Northerly, IL",Feb,18.5,2015
"Chicago Northerly, IL",Mar,36.3,2015
"Chicago Northerly, IL",Apr,49.3,2015
"Chicago Northerly, IL",May,59.2,2015
"Chicago Northerly, IL",Jun,65.4,2015
"Chicago Northerly, IL",Jul,71.5,2015
"Chicago Northerly, IL",Aug,72.0,2015
"Chicago Northerly, IL",Sep,69.6,2015
"Chicago Northerly, IL",Oct,56.4,2015
"Chicago Northerly, IL",Nov,47.9,2015
"Chicago Northerly, IL",Dec,40.4,2015
"Chicago Northerly, IL",Annual,50.9,2015
"Chicago Northerly, IL",Jan,27.2,2016
"Chicago Northerly, IL",Feb,31.8,2016
"Chicago Northerly, IL",Mar,42.8,2016
"Chicago Northerly, IL",Apr,45.9,2016
"Chicago Northerly, IL",May,58.2,2016
"Chicago Northerly, IL",Jun,70.7,2016
"Chicago Northerly, IL",Jul,74.6,2016
"Chicago Northerly, IL",Aug,75.5,2016
"Chicago Northerly, IL",Sep,71.0,2016
"Chicago Northerly, IL",Oct,58.9,2016
"Chicago Northerly, IL",Nov,49.1,2016
"Chicago Northerly, IL",Dec,27.5,2016
"Chicago Northerly, IL",Annual,52.8,2016
"Chicago Northerly, IL",Jan,29.9,2017
"Chicago Northerly, IL",Feb,38.5,2017
"Chicago Northerly, IL",Mar,38.5,2017
"Chicago Northerly, IL",Apr,51.4,2017
"Chicago Northerly, IL",May,55.4,2017
"Chicago Northerly, IL",Jun,70.4,2017
"Chicago Northerly, IL",Jul,73.6,2017
"Chicago Northerly, IL",Aug,71.6,2017
"Chicago Northerly, IL",Sep,69.0,2017
"Chicago Northerly, IL",Oct,58.2,2017
"Chicago Northerly, IL",Nov,41.4,2017
"Chicago Northerly, IL",Dec,29.1,2017
"Chicago Northerly, IL",Annual,52.3,2017
"Chicago Northerly, IL",Jan,25.9,2018
"Chicago Northerly, IL",Feb,30.3,2018
"Chicago Northerly, IL",Mar,35.9,2018
"Chicago Northerly, IL",Apr,39.7,2018
"Chicago Northerly, IL",May,59.1,2018
"Chicago Northerly, IL",Jun,67.4,2018
"Chicago Northerly, IL",Jul,74.1,2018
"Chicago Northerly, IL",Aug,75.7,2018
"Chicago Northerly, IL",Sep,68.9,2018
"Chicago Northerly, IL",Oct,53.7,2018
"Chicago Northerly, IL",Nov,35.5,2018
"Chicago Northerly, IL",Dec,34.3,2018
"Chicago Northerly, IL",Annual,50.0,2018
"Chicago Northerly, IL",Jan,23.2,2019
"Chicago Northerly, IL",Feb,28.1,2019
"Chicago Northerly, IL",Mar,M,2019
"Chicago Northerly, IL",Apr,48.2,2019
"Chicago Northerly, IL",May,55.9,2019
"Chicago Northerly, IL",Jun,63.9,2019
"Chicago Northerly, IL",Jul,75.1,2019
"Chicago Northerly, IL",Aug,73.1,2019
"Chicago Northerly, IL",Sep,69.3,2019
"Chicago Northerly, IL",Oct,52.5,2019
"Chicago Northerly, IL",Nov,36.8,2019
"Chicago Northerly, IL",Dec,35.7,2019
"Chicago Northerly, IL",Annual,51.1,2019
"Chicago Northerly, IL",Jan,31.8,2020
"Chicago Northerly, IL",Feb,30.4,2020
"Chicago Northerly, IL",Mar,41.5,2020
"Chicago Northerly, IL",Apr,45.9,2020
"Chicago Northerly, IL",May,57.3,2020
"Chicago Northerly, IL",Jun,69.4,2020
"Chicago Northerly, IL",Jul,77.2,2020
"Chicago Northerly, IL",Aug,75.2,2020
"Chicago Northerly, IL",Sep,66.0,2020
"Chicago Northerly, IL",Oct,50.9,2020
"Chicago Northerly, IL",Nov,47.6,2020
"Chicago Northerly, IL",Dec,33.5,2020
"Chicago Northerly, IL",Annual,52.2,2020
"Chicago Northerly, IL",Jan,30.4,2021
"Chicago Northerly, IL",Feb,21.6,2021
"Chicago Northerly, IL",Mar,43.4,2021
"Chicago Northerly, IL",Apr,M,2021
"Chicago Northerly, IL",May,M,2021
"Chicago Northerly, IL",Jun,72.2,2021
"Chicago Northerly, IL",Jul,73.6,2021
"Chicago Northerly, IL",Aug,76.8,2021
"Chicago Northerly, IL",Sep,70.3,2021
"Chicago Northerly, IL",Oct,60.5,2021
"Chicago Northerly, IL",Nov,41.6,2021
"Chicago Northerly, IL",Dec,38.4,2021
"Chicago Northerly, IL",Annual,52.9,2021
"Chicago Northerly, IL",Jan,21.9,2022
"Chicago Northerly, IL",Feb,27.6,2022
"Chicago Northerly, IL",Mar,39.1,2022
"Chicago Northerly, IL",Apr,45.9,2022
"Chicago Northerly, IL",May,60.4,2022
"Chicago Northerly, IL",Jun,70.4,2022
"Chicago Northerly, IL",Jul,73.9,2022
"Chicago Northerly, IL",Aug,73.3,2022
"Chicago Northerly, IL",Sep,67.5,2022
"Chicago Northerly, IL",Oct,54.7,2022
"Chicago Northerly, IL",Nov,44.4,2022
"Chicago Northerly, IL",Dec,30.0,2022
"Chicago Northerly, IL",Annual,50.8,2022
"Chicago Northerly, IL",Jan,32.4,2023
"Chicago Northerly, IL",Feb,34.5,2023
"Chicago Northerly, IL",Mar,38.0,2023
"Chicago Northerly, IL",Apr,M,2023
"Chicago Northerly, IL",May,M,2023
"Chicago Northerly, IL",Jun,M,2023
"Chicago Northerly, IL",Jul,M,2023
"Chicago Northerly, IL",Aug,M,2023
"Chicago Northerly, IL",Sep,M,2023
"Chicago Northerly, IL",Oct,56.0,2023
"Chicago Northerly, IL",Nov,M,2023
"Chicago Northerly, IL",Dec,M,2023
"Chicago Northerly, IL",Annual,40.2,2023
"Chicago O Hare AP, IL",Jan,25.3,2000
"Chicago O Hare AP, IL",Feb,34.1,2000
"Chicago O Hare AP, IL",Mar,44.2,2000
"Chicago O Hare AP, IL",Apr,47.2,2000
"Chicago O Hare AP, IL",May,62.0,2000
"Chicago O Hare AP, IL",Jun,67.2,2000
"Chicago O Hare AP, IL",Jul,71.0,2000
"Chicago O Hare AP, IL",Aug,72.4,2000
"Chicago O Hare AP, IL",Sep,64.7,2000
"Chicago O Hare AP, IL",Oct,56.1,2000
"Chicago O Hare AP, IL",Nov,37.0,2000
"Chicago O Hare AP, IL",Dec,16.0,2000
"Chicago O Hare AP, IL",Annual,49.8,2000
"Chicago O Hare AP, IL",Jan,24.5,2001
"Chicago O Hare AP, IL",Feb,26.1,2001
"Chicago O Hare AP, IL",Mar,34.1,2001
"Chicago O Hare AP, IL",Apr,52.5,2001
"Chicago O Hare AP, IL",May,60.0,2001
"Chicago O Hare AP, IL",Jun,67.4,2001
"Chicago O Hare AP, IL",Jul,74.5,2001
"Chicago O Hare AP, IL",Aug,73.2,2001
"Chicago O Hare AP, IL",Sep,61.9,2001
"Chicago O Hare AP, IL",Oct,52.1,2001
"Chicago O Hare AP, IL",Nov,48.2,2001
"Chicago O Hare AP, IL",Dec,33.4,2001
"Chicago O Hare AP, IL",Annual,50.7,2001
"Chicago O Hare AP, IL",Jan,31.9,2002
"Chicago O Hare AP, IL",Feb,32.1,2002
"Chicago O Hare AP, IL",Mar,34.5,2002
"Chicago O Hare AP, IL",Apr,49.9,2002
"Chicago O Hare AP, IL",May,55.2,2002
"Chicago O Hare AP, IL",Jun,70.9,2002
"Chicago O Hare AP, IL",Jul,77.0,2002
"Chicago O Hare AP, IL",Aug,73.1,2002
"Chicago O Hare AP, IL",Sep,67.3,2002
"Chicago O Hare AP, IL",Oct,49.7,2002
"Chicago O Hare AP, IL",Nov,37.6,2002
"Chicago O Hare AP, IL",Dec,30.1,2002
"Chicago O Hare AP, IL",Annual,50.8,2002
"Chicago O Hare AP, IL",Jan,21.3,2003
"Chicago O Hare AP, IL",Feb,23.6,2003
"Chicago O Hare AP, IL",Mar,36.7,2003
"Chicago O Hare AP, IL",Apr,48.3,2003
"Chicago O Hare AP, IL",May,56.2,2003
"Chicago O Hare AP, IL",Jun,65.5,2003
"Chicago O Hare AP, IL",Jul,72.3,2003
"Chicago O Hare AP, IL",Aug,73.6,2003
"Chicago O Hare AP, IL",Sep,63.3,2003
"Chicago O Hare AP, IL",Oct,51.8,2003
"Chicago O Hare AP, IL",Nov,41.9,2003
"Chicago O Hare AP, IL",Dec,31.6,2003
"Chicago O Hare AP, IL",Annual,48.8,2003
"Chicago O Hare AP, IL",Jan,20.3,2004
"Chicago O Hare AP, IL",Feb,27.4,2004
"Chicago O Hare AP, IL",Mar,41.1,2004
"Chicago O Hare AP, IL",Apr,50.4,2004
"Chicago O Hare AP, IL",May,60.0,2004
"Chicago O Hare AP, IL",Jun,67.1,2004
"Chicago O Hare AP, IL",Jul,71.2,2004
"Chicago O Hare AP, IL",Aug,67.5,2004
"Chicago O Hare AP, IL",Sep,66.5,2004
"Chicago O Hare AP, IL",Oct,53.9,2004
"Chicago O Hare AP, IL",Nov,43.7,2004
"Chicago O Hare AP, IL",Dec,28.9,2004
"Chicago O Hare AP, IL",Annual,49.8,2004
"Chicago O Hare AP, IL",Jan,24.5,2005
"Chicago O Hare AP, IL",Feb,32.4,2005
"Chicago O Hare AP, IL",Mar,35.0,2005
"Chicago O Hare AP, IL",Apr,51.5,2005
"Chicago O Hare AP, IL",May,57.1,2005
"Chicago O Hare AP, IL",Jun,74.2,2005
"Chicago O Hare AP, IL",Jul,75.6,2005
"Chicago O Hare AP, IL",Aug,74.3,2005
"Chicago O Hare AP, IL",Sep,69.4,2005
"Chicago O Hare AP, IL",Oct,55.2,2005
"Chicago O Hare AP, IL",Nov,42.0,2005
"Chicago O Hare AP, IL",Dec,23.3,2005
"Chicago O Hare AP, IL",Annual,51.2,2005
"Chicago O Hare AP, IL",Jan,35.8,2006
"Chicago O Hare AP, IL",Feb,28.2,2006
"Chicago O Hare AP, IL",Mar,38.3,2006
"Chicago O Hare AP, IL",Apr,53.1,2006
"Chicago O Hare AP, IL",May,59.6,2006
"Chicago O Hare AP, IL",Jun,68.3,2006
"Chicago O Hare AP, IL",Jul,76.5,2006
"Chicago O Hare AP, IL",Aug,74.3,2006
"Chicago O Hare AP, IL",Sep,62.4,2006
"Chicago O Hare AP, IL",Oct,49.0,2006
"Chicago O Hare AP, IL",Nov,42.8,2006
"Chicago O Hare AP, IL",Dec,33.8,2006
"Chicago O Hare AP, IL",Annual,51.8,2006
"Chicago O Hare AP, IL",Jan,27.9,2007
"Chicago O Hare AP, IL",Feb,17.9,2007
"Chicago O Hare AP, IL",Mar,42.5,2007
"Chicago O Hare AP, IL",Apr,46.8,2007
"Chicago O Hare AP, IL",May,63.8,2007
"Chicago O Hare AP, IL",Jun,71.3,2007
"Chicago O Hare AP, IL",Jul,73.7,2007
"Chicago O Hare AP, IL",Aug,74.8,2007
"Chicago O Hare AP, IL",Sep,68.1,2007
"Chicago O Hare AP, IL",Oct,59.0,2007
"Chicago O Hare AP, IL",Nov,39.4,2007
"Chicago O Hare AP, IL",Dec,27.8,2007
"Chicago O Hare AP, IL",Annual,51.1,2007
"Chicago O Hare AP, IL",Jan,23.5,2008
"Chicago O Hare AP, IL",Feb,23.0,2008
"Chicago O Hare AP, IL",Mar,34.9,2008
"Chicago O Hare AP, IL",Apr,49.4,2008
"Chicago O Hare AP, IL",May,55.5,2008
"Chicago O Hare AP, IL",Jun,70.8,2008
"Chicago O Hare AP, IL",Jul,74.0,2008
"Chicago O Hare AP, IL",Aug,72.7,2008
"Chicago O Hare AP, IL",Sep,66.1,2008
"Chicago O Hare AP, IL",Oct,52.6,2008
"Chicago O Hare AP, IL",Nov,39.3,2008
"Chicago O Hare AP, IL",Dec,22.9,2008
"Chicago O Hare AP, IL",Annual,48.7,2008
"Chicago O Hare AP, IL",Jan,15.8,2009
"Chicago O Hare AP, IL",Feb,28.2,2009
"Chicago O Hare AP, IL",Mar,39.6,2009
"Chicago O Hare AP, IL",Apr,47.3,2009
"Chicago O Hare AP, IL",May,59.9,2009
"Chicago O Hare AP, IL",Jun,67.6,2009
"Chicago O Hare AP, IL",Jul,69.4,2009
"Chicago O Hare AP, IL",Aug,70.5,2009
"Chicago O Hare AP, IL",Sep,65.4,2009
"Chicago O Hare AP, IL",Oct,48.8,2009
"Chicago O Hare AP, IL",Nov,45.3,2009
"Chicago O Hare AP, IL",Dec,26.5,2009
"Chicago O Hare AP, IL",Annual,48.7,2009
"Chicago O Hare AP, IL",Jan,21.9,2010
"Chicago O Hare AP, IL",Feb,26.7,2010
"Chicago O Hare AP, IL",Mar,41.7,2010
"Chicago O Hare AP, IL",Apr,54.6,2010
"Chicago O Hare AP, IL",May,61.7,2010
"Chicago O Hare AP, IL",Jun,71.2,2010
"Chicago O Hare AP, IL",Jul,77.6,2010
"Chicago O Hare AP, IL",Aug,76.7,2010
"Chicago O Hare AP, IL",Sep,65.1,2010
"Chicago O Hare AP, IL",Oct,56.0,2010
"Chicago O Hare AP, IL",Nov,41.5,2010
"Chicago O Hare AP, IL",Dec,22.5,2010
"Chicago O Hare AP, IL",Annual,51.4,2010
"Chicago O Hare AP, IL",Jan,20.6,2011
"Chicago O Hare AP, IL",Feb,26.2,2011
"Chicago O Hare AP, IL",Mar,36.3,2011
"Chicago O Hare AP, IL",Apr,47.7,2011
"Chicago O Hare AP, IL",May,57.9,2011
"Chicago O Hare AP, IL",Jun,69.5,2011
"Chicago O Hare AP, IL",Jul,79.0,2011
"Chicago O Hare AP, IL",Aug,73.5,2011
"Chicago O Hare AP, IL",Sep,62.2,2011
"Chicago O Hare AP, IL",Oct,54.9,2011
"Chicago O Hare AP, IL",Nov,44.9,2011
"Chicago O Hare AP, IL",Dec,35.2,2011
"Chicago O Hare AP, IL",Annual,50.7,2011
"Chicago O Hare AP, IL",Jan,30.2,2012
"Chicago O Hare AP, IL",Feb,32.9,2012
"Chicago O Hare AP, IL",Mar,53.5,2012
"Chicago O Hare AP, IL",Apr,50.7,2012
"Chicago O Hare AP, IL",May,65.6,2012
"Chicago O Hare AP, IL",Jun,74.0,2012
"Chicago O Hare AP, IL",Jul,81.0,2012
"Chicago O Hare AP, IL",Aug,73.3,2012
"Chicago O Hare AP, IL",Sep,64.1,2012
"Chicago O Hare AP, IL",Oct,51.5,2012
"Chicago O Hare AP, IL",Nov,40.5,2012
"Chicago O Hare AP, IL",Dec,36.1,2012
"Chicago O Hare AP, IL",Annual,54.5,2012
"Chicago O Hare AP, IL",Jan,26.6,2013
"Chicago O Hare AP, IL",Feb,26.1,2013
"Chicago O Hare AP, IL",Mar,32.6,2013
"Chicago O Hare AP, IL",Apr,46.9,2013
"Chicago O Hare AP, IL",May,61.0,2013
"Chicago O Hare AP, IL",Jun,68.5,2013
"Chicago O Hare AP, IL",Jul,73.2,2013
"Chicago O Hare AP, IL",Aug,73.0,2013
"Chicago O Hare AP, IL",Sep,67.2,2013
"Chicago O Hare AP, IL",Oct,53.1,2013
"Chicago O Hare AP, IL",Nov,37.5,2013
"Chicago O Hare AP, IL",Dec,23.3,2013
"Chicago O Hare AP, IL",Annual,49.1,2013
"Chicago O Hare AP, IL",Jan,15.7,2014
"Chicago O Hare AP, IL",Feb,17.3,2014
"Chicago O Hare AP, IL",Mar,31.7,2014
"Chicago O Hare AP, IL",Apr,48.6,2014
"Chicago O Hare AP, IL",May,60.4,2014
"Chicago O Hare AP, IL",Jun,70.9,2014
"Chicago O Hare AP, IL",Jul,70.4,2014
"Chicago O Hare AP, IL",Aug,73.7,2014
"Chicago O Hare AP, IL",Sep,63.9,2014
"Chicago O Hare AP, IL",Oct,52.0,2014
"Chicago O Hare AP, IL",Nov,33.6,2014
"Chicago O Hare AP, IL",Dec,32.0,2014
"Chicago O Hare AP, IL",Annual,47.5,2014
"Chicago O Hare AP, IL",Jan,22.3,2015
"Chicago O Hare AP, IL",Feb,14.6,2015
"Chicago O Hare AP, IL",Mar,35.4,2015
"Chicago O Hare AP, IL",Apr,49.4,2015
"Chicago O Hare AP, IL",May,60.4,2015
"Chicago O Hare AP, IL",Jun,67.4,2015
"Chicago O Hare AP, IL",Jul,72.3,2015
"Chicago O Hare AP, IL",Aug,71.8,2015
"Chicago O Hare AP, IL",Sep,69.0,2015
"Chicago O Hare AP, IL",Oct,54.7,2015
"Chicago O Hare AP, IL",Nov,44.6,2015
"Chicago O Hare AP, IL",Dec,39.0,2015
"Chicago O Hare AP, IL",Annual,50.1,2015
"Chicago O Hare AP, IL",Jan,24.7,2016
"Chicago O Hare AP, IL",Feb,30.4,2016
"Chicago O Hare AP, IL",Mar,43.3,2016
"Chicago O Hare AP, IL",Apr,47.8,2016
"Chicago O Hare AP, IL",May,59.7,2016
"Chicago O Hare AP, IL",Jun,71.6,2016
"Chicago O Hare AP, IL",Jul,75.5,2016
"Chicago O Hare AP, IL",Aug,75.8,2016
"Chicago O Hare AP, IL",Sep,69.6,2016
"Chicago O Hare AP, IL",Oct,56.9,2016
"Chicago O Hare AP, IL",Nov,46.8,2016
"Chicago O Hare AP, IL",Dec,25.0,2016
"Chicago O Hare AP, IL",Annual,52.3,2016
"Chicago O Hare AP, IL",Jan,28.8,2017
"Chicago O Hare AP, IL",Feb,38.0,2017
"Chicago O Hare AP, IL",Mar,39.5,2017
"Chicago O Hare AP, IL",Apr,53.7,2017
"Chicago O Hare AP, IL",May,57.9,2017
"Chicago O Hare AP, IL",Jun,72.4,2017
"Chicago O Hare AP, IL",Jul,74.6,2017
"Chicago O Hare AP, IL",Aug,71.5,2017
"Chicago O Hare AP, IL",Sep,69.4,2017
"Chicago O Hare AP, IL",Oct,57.6,2017
"Chicago O Hare AP, IL",Nov,39.7,2017
"Chicago O Hare AP, IL",Dec,27.2,2017
"Chicago O Hare AP, IL",Annual,52.5,2017
"Chicago O Hare AP, IL",Jan,24.6,2018
"Chicago O Hare AP, IL",Feb,28.8,2018
"Chicago O Hare AP, IL",Mar,36.9,2018
"Chicago O Hare AP, IL",Apr,41.2,2018
"Chicago O Hare AP, IL",May,66.1,2018
"Chicago O Hare AP, IL",Jun,71.5,2018
"Chicago O Hare AP, IL",Jul,76.2,2018
"Chicago O Hare AP, IL",Aug,76.3,2018
"Chicago O Hare AP, IL",Sep,68.9,2018
"Chicago O Hare AP, IL",Oct,52.7,2018
"Chicago O Hare AP, IL",Nov,34.6,2018
"Chicago O Hare AP, IL",Dec,33.2,2018
"Chicago O Hare AP, IL",Annual,50.9,2018
"Chicago O Hare AP, IL",Jan,21.0,2019
"Chicago O Hare AP, IL",Feb,25.9,2019
"Chicago O Hare AP, IL",Mar,34.3,2019
"Chicago O Hare AP, IL",Apr,49.7,2019
"Chicago O Hare AP, IL",May,58.0,2019
"Chicago O Hare AP, IL",Jun,67.8,2019
"Chicago O Hare AP, IL",Jul,77.1,2019
"Chicago O Hare AP, IL",Aug,72.9,2019
"Chicago O Hare AP, IL",Sep,69.4,2019
"Chicago O Hare AP, IL",Oct,50.9,2019
"Chicago O Hare AP, IL",Nov,34.8,2019
"Chicago O Hare AP, IL",Dec,34.0,2019
"Chicago O Hare AP, IL",Annual,49.6,2019
"Chicago O Hare AP, IL",Jan,30.1,2020
"Chicago O Hare AP, IL",Feb,30.2,2020
"Chicago O Hare AP, IL",Mar,42.8,2020
"Chicago O Hare AP, IL",Apr,48.4,2020
"Chicago O Hare AP, IL",May,59.9,2020
"Chicago O Hare AP, IL",Jun,74.0,2020
"Chicago O Hare AP, IL",Jul,79.2,2020
"Chicago O Hare AP, IL",Aug,76.8,2020
"Chicago O Hare AP, IL",Sep,66.3,2020
"Chicago O Hare AP, IL",Oct,51.5,2020
"Chicago O Hare AP, IL",Nov,47.4,2020
"Chicago O Hare AP, IL",Dec,32.8,2020
"Chicago O Hare AP, IL",Annual,53.3,2020
"Chicago O Hare AP, IL",Jan,29.2,2021
"Chicago O Hare AP, IL",Feb,20.2,2021
"Chicago O Hare AP, IL",Mar,44.2,2021
"Chicago O Hare AP, IL",Apr,51.9,2021
"Chicago O Hare AP, IL",May,60.2,2021
"Chicago O Hare AP, IL",Jun,74.3,2021
"Chicago O Hare AP, IL",Jul,74.4,2021
"Chicago O Hare AP, IL",Aug,77.1,2021
"Chicago O Hare AP, IL",Sep,70.3,2021
"Chicago O Hare AP, IL",Oct,59.7,2021
"Chicago O Hare AP, IL",Nov,40.3,2021
"Chicago O Hare AP, IL",Dec,38.0,2021
"Chicago O Hare AP, IL",Annual,53.3,2021
"Chicago O Hare AP, IL",Jan,20.6,2022
"Chicago O Hare AP, IL",Feb,27.4,2022
"Chicago O Hare AP, IL",Mar,40.7,2022
"Chicago O Hare AP, IL",Apr,47.0,2022
"Chicago O Hare AP, IL",May,63.7,2022
"Chicago O Hare AP, IL",Jun,72.2,2022
"Chicago O Hare AP, IL",Jul,75.3,2022
"Chicago O Hare AP, IL",Aug,74.4,2022
"Chicago O Hare AP, IL",Sep,67.4,2022
"Chicago O Hare AP, IL",Oct,54.0,2022
"Chicago O Hare AP, IL",Nov,43.4,2022
"Chicago O Hare AP, IL",Dec,29.1,2022
"Chicago O Hare AP, IL",Annual,51.3,2022
"Chicago O Hare AP, IL",Jan,32.3,2023
"Chicago O Hare AP, IL",Feb,33.9,2023
"Chicago O Hare AP, IL",Mar,38.8,2023
"Chicago O Hare AP, IL",Apr,51.8,2023
"Chicago O Hare AP, IL",May,62.4,2023
"Chicago O Hare AP, IL",Jun,70.8,2023
"Chicago O Hare AP, IL",Jul,75.7,2023
"Chicago O Hare AP, IL",Aug,74.3,2023
"Chicago O Hare AP, IL",Sep,69.5,2023
"Chicago O Hare AP, IL",Oct,57.1,2023
"Chicago O Hare AP, IL",Nov,M,2023
"Chicago O Hare AP, IL",Dec,M,2023
"Chicago O Hare AP, IL",Annual,56.7,2023
"De Kalb, IL",Jan,21.0,2000
"De Kalb, IL",Feb,29.8,2000
"De Kalb, IL",Mar,43.0,2000
"De Kalb, IL",Apr,47.5,2000
"De Kalb, IL",May,61.7,2000
"De Kalb, IL",Jun,66.5,2000
